"appid","name","owners","owners_variance","players_forever","players_forever_variance","players_2weeks","players_2weeks_variance","average_forever","average_2weeks","median_forever","median_2weeks","price"
570,"Dota 2",87529549,209689,87529549,209689,9342085,77936,12098,1204,304,700,0
440,"Team Fortress 2",37257487,149190,37257487,149190,1565232,32260,4534,584,246,203,0
730,"Counter-Strike: Global Offensive",25073086,124725,24396078,123156,7906939,71850,17067,832,5175,399,937
304930,"Unturned",26439867,127812,20903331,114604,1034221,26242,1091,369,173,66,0
550,"Left 4 Dead 2",15234960,98670,13273699,92367,635744,20586,2340,222,571,75,399
4000,"Garry's Mod",12629212,90182,11697801,86911,1099264,27052,5739,503,995,116,499
240,"Counter-Strike: Source",15280070,98809,11336742,85605,305808,14284,7919,449,687,56,679
72850,"The Elder Scrolls V: Skyrim",11249318,85285,10732645,83366,1001525,25825,6939,548,2842,151,494
8930,"Sid Meier's Civilization V",9718356,79447,9156397,77178,757963,22474,10450,812,2513,305,749
10,"Counter-Strike",12938692,91239,9105692,76970,361759,15535,11203,619,457,72,249
230410,"Warframe",14182904,95350,8654586,75088,700962,21615,4108,922,283,262,0
227940,"Heroes & Generals",12384426,89336,8372033,73883,482403,17936,722,261,51,40,0
301520,"Robocraft",11198962,85100,7918654,71902,227126,12312,1121,303,143,73,0
105600,"Terraria",8021115,72355,7619491,70561,726315,22001,4651,505,1366,112,749
620,"Portal 2",8599509,74855,7158419,68438,146872,9901,999,178,586,57,399
400,"Portal",9633206,79108,6812921,66800,46859,5593,324,131,178,46,199
218620,"PAYDAY 2",7200732,68636,6674267,66130,452854,17379,3326,389,1048,106,314
49520,"Borderlands 2",6899820,67216,6213195,63847,250731,12935,3674,393,1479,93,299
236390,"War Thunder",10380502,82029,6144480,63499,419808,16734,2689,496,296,139,0
304050,"Trove",7052461,67940,5754571,61486,204047,11670,1157,385,123,57,0
220,"Half-Life 2",9836553,79914,5675190,61067,63994,6536,731,237,307,49,199
271590,"Grand Theft Auto V",5594236,60637,5497720,60120,1300863,29420,6684,580,3859,194,2999
630,"Alien Swarm",4813193,56308,4813193,56308,27626,4295,317,96,98,43,0
10180,"Call of Duty: Modern Warfare 2",5096970,57921,4566309,54865,78157,7223,1337,143,578,50,999
252490,"Rust",4710383,55712,4509309,54526,522793,18671,5881,861,1390,238,1259
10190,"Call of Duty: Modern Warfare 2 - Multiplayer",5096970,57921,4481858,54362,146697,9896,8733,191,2536,40,999
224260,"No More Room in Hell",7007525,67728,4407898,53917,106132,8417,425,135,89,43,0
444090,"Paladins",5099943,57938,4381321,53756,1601600,32630,631,348,221,120,0
252950,"Rocket League",4463674,54253,4289176,53195,1180743,28034,4008,473,1163,172,1199
291550,"Brawlhalla",4672441,55490,4287253,53183,456176,17443,651,219,144,58,0
273110,"Counter-Strike Nexon: Zombies",6886007,67150,4269768,53076,97565,8070,852,471,39,98,0
218230,"PlanetSide 2",6859255,67022,4234624,52860,119945,8948,1568,348,178,68,0
80,"Counter-Strike: Condition Zero",10360220,81951,4106986,52066,46684,5583,1929,345,86,35,249
22380,"Fallout: New Vegas",4566309,54865,4015715,51491,112951,8683,3546,391,1277,81,329
291480,"Warface",6249738,64031,3999979,51391,178694,10921,744,352,97,68,0
238960,"Path of Exile",5961240,62562,3938083,50997,221357,12154,3154,792,235,156,0
333930,"Dirty Bomb",5750549,61465,3873040,50579,121868,9020,604,249,65,39,0
322330,"Don't Starve Together Beta",5108685,57987,3815166,50203,386762,16062,1279,354,466,134,649
346110,"ARK: Survival Evolved",3949273,51068,3794359,50068,447259,17272,6845,1191,999,317,1399
203160,"Tomb Raider",4401428,53878,3636647,49027,121694,9013,945,276,642,106,499
221100,"DayZ",3656055,49157,3627380,48966,234645,12514,4537,405,1246,90,2379
