Title; 4 Hours; 7 Days; 30 Days; 90 Days; Included In Subscription
Adventure Time: Explore the Dungeon Because I DON'T KNOW!;2.99;6.99;11.99;22.99;F
Air Conflicts: Pacific Carriers;1.99;5.99;7.99;14.99;F
Air Conflicts: Secret Wars;1.99;5.99;7.99;14.99;F
Air Conflicts: Vietnam;2.99;6.99;11.99;22.99;F
Alien Rage;1.99;4.99;6.99;9.99;F
Alien Spidy;1.99;3.99;5.99;7.99;F
Alone in the Dark: Inferno;;;;4.99;F
Alpha Protocol;2.99;5.99;7.99;14.99;T
Anarchy: Rush Hour;;;;4.99;F
Anomaly: Warzone Earth; 2.99; 3.99; 5.99; 7.99;T
Arcana Heart 3;;;;;T
Back to the Future: The Game - Episode I: It's About Time;;;;3.99;F
Back to the Future: The Game - Episode II: Get Tannen!; ;;;3.99;F
Back to the Future: The Game - Episode III: Citizen Brown; ; ;;3.99;F
Back to the Future: The Game - Episode IV: Double Visions;;;;3.99;F
Back to the Future: The Game - Episode V: OUTATIME;;;;3.99;F
Baseball Stars 2;;;;8.99;F
Batman: Arkham City;;;;;T
Battle Fantasia;1.99;4.99;6.99;11.99;F
Bejeweled 3;;1.99;;3.99;F
Ben 10: Omniverse; 2.99; 5.99; 7.99; 14.99;T
Ben 10 Omniverse 2; 4.99; 7.99; 14.99; 29.99;T
Big Sky: Infinity; 1.99;3.99;5.99; 7.99;F
Bionic Commando Rearmed 2; 2.99; 3.99; 5.99; 7.99;F
Bionic Commando Rearmed; 2.99;3.99;5.99;7.99;F
BioShock Infinite; ;;;;T
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien; ;;;;T
BlazBlue: Calamity Trigger;2.99;4.99;6.99;11.99;T
BlazBlue: Continuum Shift;2.99;5.99;7.99;14.99;T
BlazBlue: Chrono Phantasma; ;;;;T
BlazBlue: Continuum Shift Extend; 4.99;14.99;16.99;18.99;T
BloodRayne: Betrayal;2.99;3.99;5.99;7.99;F
Bodycount;1.99;4.99;6.99;9.99;F
Bound by Flame;4.99;7.99;17.99;29.99;T
Capcom Arcade Cabinet: All-In-One Pack; 3.99; 6.99; 11.99; 22.99;F
Catherine; 2.99; 5.99; 7.99; 14.99;F
Cel Damage HD;1.99;3.99;5.99;7.99;F
Chime Super Deluxe; 1.99;;5.99;7.99;T
Choplifter HD; 1.99;3.99;5.99;7.99;F
Contrast; 4.99; ; 6.99; 11.99;T
Crazy Taxi;2.99; 3.99; 5.99; 7.99;T
Critter Crunch;;;;6.99;T
Cuboid;2.99;3.99;5.99;7.99;T
Damnation;1.99;4.99;6.99;9.99;F
Darksiders; 2.99; 5.99;7.99; 14.99;T
Darksiders II; 4.99; 6.99; 14.99; 29.99;T
Dead Island;1.99;3.99;5.99;7.99;T
Dead Island: Riptide; 2.99;5.99;7.99;14.99;T
Dead or Alive 5; 2.99; 5.99; 7.99; 14.99;T
Dead Rising 2; 2.99; 5.99; 7.99; 14.99;F
